experimento,repeticion,modo,vacas,estrellas,hilos,estrellas_paralelas,schedule,chunk,semilla,ms_sim_avg,ms_sim_p95,ms_pasada_a_avg,ms_pasada_b_avg,ms_render_avg,fps
false_sharing,2,paralelo,3000,180,8,0,static,1,1234,100.452400,111.605900,99.790940,0.537170,0.000000,9.955
false_sharing,3,serial,3000,180,1,0,static,0,1234,317.012740,443.302600,316.329615,0.604700,0.000000,3.154
false_sharing,3,paralelo,3000,180,8,0,static,0,1234,107.539080,124.969200,107.012165,0.424530,0.000000,9.299
false_sharing,3,paralelo,3000,180,8,0,static,1,1234,117.129555,135.991700,116.452025,0.569035,0.000000,8.538
false_sharing,4,serial,3000,180,1,0,static,0,1234,327.202890,360.667300,326.556035,0.566680,0.000000,3.056
false_sharing,4,paralelo,3000,180,8,0,static,0,1234,114.191550,129.143500,113.626320,0.446735,0.000000,8.757
false_sharing,4,paralelo,3000,180,8,0,static,1,1234,101.589640,111.933200,100.984145,0.508870,0.000000,9.844
false_sharing,5,serial,3000,180,1,0,static,0,1234,328.137855,407.623000,327.535525,0.525225,0.000000,3.047
false_sharing,5,paralelo,3000,180,8,0,static,0,1234,100.456345,107.898600,99.910375,0.430700,0.000000,9.955
false_sharing,5,paralelo,3000,180,8,0,static,1,1234,99.853000,109.720800,99.193740,0.542410,0.000000,10.015
false_sharing,6,serial,3000,180,1,0,static,0,1234,325.430515,397.367800,324.807270,0.545605,0.000000,3.073
false_sharing,6,paralelo,3000,180,8,0,static,0,1234,106.134895,115.460300,105.565540,0.460705,0.000000,9.422
false_sharing,6,paralelo,3000,180,8,0,static,1,1234,100.589330,111.140400,99.956855,0.526715,0.000000,9.941
false_sharing,7,serial,3000,180,1,0,static,0,1234,273.494180,344.968900,273.019545,0.414060,0.000000,3.656
false_sharing,7,paralelo,3000,180,8,0,static,0,1234,110.893920,122.870000,110.234715,0.545540,0.000000,9.018
false_sharing,7,paralelo,3000,180,8,0,static,1,1234,93.778765,98.960700,93.187615,0.489620,0.000000,10.663
false_sharing,8,serial,3000,180,1,0,static,0,1234,311.684715,430.434400,311.114370,0.499725,0.000000,3.208
false_sharing,8,paralelo,3000,180,8,0,static,0,1234,100.336395,113.338700,99.782920,0.454100,0.000000,9.966
false_sharing,8,paralelo,3000,180,8,0,static,1,1234,83.281335,95.870800,82.768470,0.425525,0.000000,12.007
false_sharing,9,serial,3000,180,1,0,static,0,1234,438.691580,511.473600,437.785605,0.792780,0.000000,2.280
false_sharing,9,paralelo,3000,180,8,0,static,0,1234,111.408705,133.764800,110.863255,0.441450,0.000000,8.976
false_sharing,9,paralelo,3000,180,8,0,static,1,1234,72.184435,75.761200,71.763655,0.350720,0.000000,13.853
false_sharing,10,serial,3000,180,1,0,static,0,1234,310.082510,449.865800,309.511710,0.493975,0.000000,3.225
false_sharing,10,paralelo,3000,180,8,0,static,0,1234,104.420275,113.560000,103.553535,0.613085,0.000000,9.577
false_sharing,10,paralelo,3000,180,8,0,static,1,1234,82.571520,97.622100,82.037290,0.443625,0.000000,12.111
estrellas,1,serial,1,180,1,0,static,0,1234,0.083110,0.086800,0.017140,0.017495,0.000000,12032.246
estrellas,1,paralelo,1,180,8,0,static,0,1234,0.308210,0.318400,0.128625,0.130145,0.000000,3244.541
estrellas,1,paralelo,1,180,8,1,static,0,1234,0.370115,0.389500,0.123405,0.119370,0.000000,2701.863
estrellas,2,serial,1,180,1,0,static,0,1234,0.070870,0.078100,0.014640,0.014710,0.000000,14110.343
estrellas,2,paralelo,1,180,8,0,static,0,1234,0.267985,0.293200,0.108660,0.114115,0.000000,3731.552
estrellas,2,paralelo,1,180,8,1,static,0,1234,0.329150,0.351000,0.106075,0.107805,0.000000,3038.129
estrellas,3,serial,1,180,1,0,static,0,1234,0.067235,0.071100,0.013850,0.014155,0.000000,14873.206
estrellas,3,paralelo,1,180,8,0,static,0,1234,0.286050,0.311100,0.124050,0.117770,0.000000,3495.892
estrellas,3,paralelo,1,180,8,1,static,0,1234,0.341125,0.368200,0.109875,0.111745,0.000000,2931.477
estrellas,4,serial,1,180,1,0,static,0,1234,0.070325,0.085800,0.013880,0.014425,0.000000,14219.694
estrellas,4,paralelo,1,180,8,0,static,0,1234,0.264365,0.282400,0.109935,0.111105,0.000000,3782.649
estrellas,4,paralelo,1,180,8,1,static,0,1234,0.336940,0.370400,0.109730,0.109700,0.000000,2967.887
estrellas,5,serial,1,180,1,0,static,0,1234,0.081890,0.088800,0.017355,0.018155,0.000000,12211.503
estrellas,5,paralelo,1,180,8,0,static,0,1234,0.312710,0.348300,0.131375,0.132850,0.000000,3197.851
estrellas,5,paralelo,1,180,8,1,static,0,1234,0.495480,0.581600,0.164650,0.160050,0.000000,2018.245
estrellas,6,serial,1,180,1,0,static,0,1234,0.117440,0.132100,0.024005,0.030180,0.000000,8514.986
